t,ankle
2.54,-15.36314617
2.55,-14.96194149
2.56,-14.56578912
2.57,-14.15276394
2.58,-13.76102246
2.59,-13.36223504
2.6,-12.9989297
2.61,-12.63652429
2.62,-12.27582545
2.63,-11.91454844
2.64,-11.55922543
2.65,-11.20709891
2.66,-10.85720829
2.67,-10.5113525
2.68,-10.17741355
2.69,-9.85323555
2.7,-9.54503291
2.71,-9.24141851
2.72,-8.94000011
2.73,-8.66965837
2.74,-8.39434651
2.75,-8.15282385
2.76,-7.90525253
2.77,-7.66705754
2.78,-7.42756335
2.79,-7.1938241
2.8,-6.96726668
2.81,-6.73958969
2.82,-6.5071471
2.83,-6.28212105
2.84,-6.02894067
2.85,-5.78302157
2.86,-5.52946401
2.87,-5.30120865
2.88,-5.01249247
2.89,-4.7561927
2.9,-4.49985499
2.91,-4.20171093
2.92,-3.91970832
2.93,-3.64938646
2.94,-3.36627979
2.95,-3.10308482
2.96,-2.82954297
2.97,-2.5887251
2.98,-2.32453243
2.99,-2.10522545
3,-1.89226814
3.01,-1.69271641
3.02,-1.51347225
3.03,-1.359134
3.04,-1.2287746
3.05,-1.14550294
3.06,-1.09207893
3.07,-1.12051542
3.08,-1.20620063
3.09,-1.3648891
3.1,-1.61958528
3.11,-1.97660739
3.12,-2.44047328
3.13,-3.03125345
3.14,-3.73343936
3.15,-4.5866918
3.16,-5.56010273
3.17,-6.65648103
3.18,-7.86254821
3.19,-9.14629692
3.2,-10.49561492
3.21,-11.87158324
3.22,-13.21355399
3.23,-14.45884639
3.24,-15.62508639
3.25,-16.57877547
3.26,-17.40279169
3.27,-17.96420773
3.28,-18.32606815
3.29,-18.49312013
3.3,-18.50011057
3.31,-18.36600619
3.32,-18.11391409
3.33,-17.78347084
3.34,-17.38114924
3.35,-16.94654333
3.36,-16.4769525
3.37,-15.97514333
3.38,-15.49387268
3.39,-14.98667306
3.4,-14.47251511
3.41,-13.95849669
3.42,-13.44467738
3.43,-12.96007824
3.44,-12.48274584
3.45,-12.02269406
3.46,-11.59352909
3.47,-11.18815806
3.48,-10.8093897
3.49,-10.45591733
3.5,-10.14916335
3.51,-9.88684035
3.52,-9.66522033
3.53,-9.48949766
3.54,-9.35889248
3.55,-9.27968245
3.56,-9.21339867
3.57,-9.17893257
3.58,-9.15919953
3.59,-9.14386109
3.6,-9.12853492
3.61,-9.09969073
3.62,-9.0615015
3.63,-9.01140082
3.64,-8.95352361
3.65,-8.90021237
3.66,-8.85318971
3.67,-8.81702475
3.68,-8.79806081
3.69,-8.79826738
3.7,-8.81095478
3.71,-8.82892829
3.72,-8.85228213
3.73,-8.86903054
3.74,-8.87643522
3.75,-8.8701298
3.76,-8.88371049
3.77,-8.85751637
3.78,-8.86220407
3.79,-8.92509791
3.8,-9.07547348
3.81,-9.33490314
3.82,-9.692919
3.83,-10.18314557
3.84,-10.79960402
3.85,-11.52079578
3.86,-12.32696684
3.87,-13.19428687
3.88,-14.08458464
3.89,-14.95442052
3.9,-15.76377257
3.91,-16.52683608
3.92,-17.1564206
3.93,-17.72789278
3.94,-18.1517458
3.95,-18.49739783
3.96,-18.75194009
3.97,-18.92222009
3.98,-19.02137374
3.99,-19.05943175
4,-19.00559935
4.01,-18.93067313
4.02,-18.80169767
4.03,-18.62863798
4.04,-18.40751339
4.05,-18.13997631
4.06,-17.82395077
4.07,-17.46179321
4.08,-17.06174107
4.09,-16.62401053
4.1,-16.14637053
4.11,-15.65439879
4.12,-15.14295628
4.13,-14.62348618
4.14,-14.11718743
4.15,-13.61607615
4.16,-13.14040627
4.17,-12.68307688
4.18,-12.23871509
4.19,-11.81217578
4.2,-11.41994664
4.21,-11.04578508
4.22,-10.69107233
4.23,-10.3482865
4.24,-10.02309771
4.25,-9.69979084
4.26,-9.39743535
4.27,-9.07527784
4.28,-8.79590316
4.29,-8.50112924
4.3,-8.21585806
4.31,-7.94921289
4.32,-7.67849738
4.33,-7.41165141
4.34,-7.16941961
4.35,-6.92680545
4.36,-6.70521116
4.37,-6.50432257
4.38,-6.25917543
4.39,-6.06810275
4.4,-5.85554634
4.41,-5.64741565
4.42,-5.45351886
4.43,-5.24583467
4.44,-5.04399545
4.45,-4.84343093
4.46,-4.63076512
4.47,-4.4157933
4.48,-4.19808498
4.49,-3.97464904
4.5,-3.74807925
4.51,-3.52018981
4.52,-3.31548232
4.53,-3.09827224
4.54,-2.88511813
4.55,-2.68218191
4.56,-2.48036354
4.57,-2.30247261
4.58,-2.13814332
4.59,-1.98404801
4.6,-1.83134283
4.61,-1.73316446
4.62,-1.65372703
4.63,-1.57969805
4.64,-1.56135201
4.65,-1.58756263
4.66,-1.68775246
4.67,-1.89040173
4.68,-2.13112892
4.69,-2.4867064
4.7,-2.9277741
4.71,-3.50778009
4.72,-4.20916862
4.73,-5.06009017
4.74,-6.0676208
4.75,-7.23271664
4.76,-8.54992388
4.77,-10.06226391
4.78,-11.68697973
4.79,-13.43285497
4.8,-15.24502061
4.81,-17.04601195
4.82,-18.77708787
4.83,-20.34583309
4.84,-21.6983357
4.85,-22.74729977
4.86,-23.47544977
4.87,-23.8624273
4.88,-23.94134138
4.89,-23.75285566
4.9,-23.32523172
4.91,-22.71027144
4.92,-21.95019849
4.93,-21.09369059
4.94,-20.18168352
4.95,-19.23824179
4.96,-18.28595068
4.97,-17.35490914
4.98,-16.44874533
4.99,-15.58069617
5,-14.76439601
5.01,-14.00203558
5.02,-13.30770341
5.03,-12.67896847
5.04,-12.11942226
5.05,-11.62539781
5.06,-11.20590947
5.07,-10.83175837
5.08,-10.52672211
5.09,-10.2870651
5.1,-10.09114925
5.11,-9.93816138
5.12,-9.80980601
5.13,-9.72524972
5.14,-9.67448821
5.15,-9.64347097
5.16,-9.62118889
5.17,-9.60046611
5.18,-9.57629372
5.19,-9.54568357
5.2,-9.50780447
5.21,-9.46350193
5.22,-9.41561871
5.23,-9.37944589
5.24,-9.35851723
5.25,-9.36456632
5.26,-9.40424376
