t,Angle
2.91,-3.9555868
2.92,-4.0197061
2.93,-4.10340763
2.94,-4.21169242
2.95,-4.29902555
2.96,-4.42185162
2.97,-4.53485184
2.98,-4.68054678
2.99,-4.84142133
3,-5.02952399
3.01,-5.2409685
3.02,-5.48817386
3.03,-5.77504896
3.04,-6.12134067
3.05,-6.51091082
3.06,-6.94540909
3.07,-7.4683133
3.08,-8.08008314
3.09,-8.78659816
3.1,-9.60666431
3.11,-10.5538166
3.12,-11.64757314
3.13,-12.90754268
3.14,-14.34895326
3.15,-15.98810771
3.16,-17.8294817
3.17,-19.8700254
3.18,-22.10689478
3.19,-24.53476681
3.2,-27.10474426
3.21,-29.77834847
3.22,-32.54265178
3.23,-35.33583369
3.24,-38.07109536
3.25,-40.76337784
3.26,-43.30369733
3.27,-45.71242753
3.28,-47.92967692
3.29,-49.94115934
3.3,-51.72790454
3.31,-53.27478884
3.32,-54.5820994
3.33,-55.64254408
3.34,-56.43906111
3.35,-57.00041286
3.36,-57.31529176
3.37,-57.41845488
3.38,-57.2627385
3.39,-56.92514761
3.4,-56.39411994
3.41,-55.70170592
3.42,-54.84922384
3.43,-53.85773185
3.44,-52.74616932
3.45,-51.53549921
3.46,-50.23094847
3.47,-48.85124674
3.48,-47.40638609
3.49,-45.90666479
3.5,-44.35926116
3.51,-42.77099051
3.52,-41.1468674
3.53,-39.49183911
3.54,-37.8089071
3.55,-36.10084721
3.56,-34.38001827
3.57,-32.64403046
3.58,-30.89947354
3.59,-29.15342893
3.6,-27.40651016
3.61,-25.6697011
3.62,-23.94600837
3.63,-22.24184423
3.64,-20.56797625
3.65,-18.92161041
3.66,-17.31695704
3.67,-15.76155083
3.68,-14.26478091
3.69,-12.84317428
3.7,-11.50015366
3.71,-10.26614629
3.72,-9.14397019
3.73,-8.15989041
3.74,-7.32417549
3.75,-6.6363803
3.76,-6.11461617
3.77,-5.73032664
3.78,-5.48040065
3.79,-5.33607901
3.8,-5.25746388
3.81,-5.25124114
3.82,-5.27402718
3.83,-5.30991894
3.84,-5.33574762
3.85,-5.35079244
3.86,-5.35018407
3.87,-5.3379323
3.88,-5.32292078
3.89,-5.31455052
3.9,-5.32219073
3.91,-5.30931299
3.92,-5.3533801
3.93,-5.37241953
3.94,-5.4416518
3.95,-5.5032597
3.96,-5.57468755
3.97,-5.66023127
3.98,-5.75785268
3.99,-5.87468894
4,-6.03031323
4.01,-6.19135005
4.02,-6.38150784
4.03,-6.60179095
4.04,-6.84143592
4.05,-7.1093881
4.06,-7.39331706
4.07,-7.69148485
4.08,-7.99611775
4.09,-8.32259421
4.1,-8.60136697
4.11,-8.88846998
4.12,-9.15069481
4.13,-9.37886871
4.14,-9.58627932
4.15,-9.72104106
4.16,-9.849494
4.17,-9.90517736
4.18,-9.93227664
4.19,-9.91687695
4.2,-9.85987307
4.21,-9.77479003
4.22,-9.65641096
4.23,-9.51225021
4.24,-9.33291973
4.25,-9.14722113
4.26,-8.92290234
4.27,-8.73740235
4.28,-8.48543982
4.29,-8.26206499
4.3,-8.01439259
4.31,-7.79946185
4.32,-7.52343302
4.33,-7.23142109
