t,Angle
2.54,-8.60516783
2.55,-8.6869479
2.56,-8.75749738
2.57,-8.80359208
2.58,-8.85607705
2.59,-8.87064113
2.6,-8.86742281
2.61,-8.92844491
2.62,-8.90656866
2.63,-8.90109839
2.64,-8.87838255
2.65,-8.81597635
2.66,-8.71959832
2.67,-8.58310301
2.68,-8.40182406
2.69,-8.18183251
2.7,-7.92170065
2.71,-7.62054259
2.72,-7.32181729
2.73,-6.99696159
2.74,-6.6987491
2.75,-6.38665294
2.76,-6.101672
2.77,-5.8545567
2.78,-5.65018122
2.79,-5.4844549
2.8,-5.36990609
2.81,-5.30804813
2.82,-5.27114095
2.83,-5.2935028
2.84,-5.32913684
2.85,-5.45342489
2.86,-5.5713729
2.87,-5.73698787
2.88,-5.94146983
2.89,-6.17978188
2.9,-6.47418372
2.91,-6.82863541
2.92,-7.22654133
2.93,-7.74621743
2.94,-8.3672968
2.95,-9.12892069
2.96,-10.06730518
2.97,-11.17905156
2.98,-12.51103854
2.99,-14.07067116
3,-15.9012103
3.01,-18.01865
3.02,-20.38815712
3.03,-23.01176555
3.04,-25.86095069
3.05,-28.86919057
3.06,-32.0412475
3.07,-35.235535
3.08,-38.44523103
3.09,-41.57424445
3.1,-44.59150337
3.11,-47.46408153
3.12,-50.17170161
3.13,-52.66673674
3.14,-54.95480855
3.15,-57.0032606
3.16,-58.79415362
3.17,-60.31954354
3.18,-61.569279
3.19,-62.53160958
3.2,-63.22358428
3.21,-63.62534287
3.22,-63.76098675
3.23,-63.64120546
3.24,-63.27416042
3.25,-62.69083713
3.26,-61.90852357
3.27,-60.90247985
3.28,-59.74978701
3.29,-58.42124676
3.3,-56.94793831
3.31,-55.32008563
3.32,-53.59163254
3.33,-51.73845893
3.34,-49.78818725
3.35,-47.75109281
3.36,-45.63860387
3.37,-43.43323228
3.38,-41.1725331
3.39,-38.85945343
3.4,-36.49958896
3.41,-34.10550324
3.42,-31.68794325
3.43,-29.25448105
3.44,-26.81542781
3.45,-24.39197535
3.46,-21.99538583
3.47,-19.64708018
3.48,-17.37198671
3.49,-15.19563791
3.5,-13.1502108
3.51,-11.27442845
3.52,-9.59328307
3.53,-8.14178402
3.54,-6.92749056
3.55,-5.9638218
3.56,-5.2467404
3.57,-4.75632368
3.58,-4.4851578
3.59,-4.36235906
3.6,-4.34491329
3.61,-4.43832892
3.62,-4.57702737
3.63,-4.73232763
3.64,-4.88929198
3.65,-5.02870709
3.66,-5.16411001
3.67,-5.28466738
3.68,-5.41175004
3.69,-5.53698776
3.7,-5.65024163
3.71,-5.76545233
3.72,-5.89109768
3.73,-6.01933026
3.74,-6.16473111
3.75,-6.32593519
3.76,-6.48692827
3.77,-6.65991781
3.78,-6.85642854
3.79,-7.07820436
3.8,-7.29532342
3.81,-7.54316805
3.82,-7.82322924
3.83,-8.0699902
3.84,-8.33951682
3.85,-8.58849454
3.86,-8.80570748
3.87,-8.97512746
3.88,-9.07078107
3.89,-9.12883756
3.9,-9.11365849
3.91,-9.04411087
3.92,-8.92213815
3.93,-8.73116564
3.94,-8.522546
3.95,-8.29051473
3.96,-8.04080593
3.97,-7.78224522
3.98,-7.5187831
3.99,-7.24699997
4,-6.96341601
4.01,-6.66424531
4.02,-6.34736745
4.03,-6.00367549
4.04,-5.64563725
4.05,-5.26897245
4.06,-4.88743092
4.07,-4.50332992
4.08,-4.13516788
4.09,-3.78234325
4.1,-3.50494121
4.11,-3.21427916
4.12,-3.03856214
4.13,-2.89296029
4.14,-2.76508934
4.15,-2.75215012
4.16,-2.77330568
4.17,-2.82869445
4.18,-2.91484108
4.19,-3.00425502
4.2,-3.18210746
4.21,-3.38882273
4.22,-3.5836782
4.23,-3.84312353
4.24,-4.13583599
4.25,-4.45121676
4.26,-4.81593672
4.27,-5.23184723
4.28,-5.71559085
4.29,-6.26052493
4.3,-6.8832031
4.31,-7.61309664
4.32,-8.46686076
4.33,-9.44030525
4.34,-10.56865899
4.35,-11.89433943
4.36,-13.39172268
4.37,-15.12002845
4.38,-17.06721535
4.39,-19.2471557
4.4,-21.68647251
4.41,-24.31946806
4.42,-27.14476672
4.43,-30.11606828
4.44,-33.16767812
4.45,-36.29546047
4.46,-39.36863754
4.47,-42.39733315
4.48,-45.31538248
4.49,-48.0630097
4.5,-50.65452938
4.51,-53.05650309
4.52,-55.23745529
4.53,-57.17860633
4.54,-58.8619911
4.55,-60.28638672
4.56,-61.43476777
4.57,-62.3086157
4.58,-62.90168676
4.59,-63.24589478
4.6,-63.28669429
4.61,-63.09079308
4.62,-62.66460308
4.63,-61.98918487
4.64,-61.1134741
4.65,-60.01607017
4.66,-58.73133555
4.67,-57.2690662
4.68,-55.64085268
4.69,-53.85529839
4.7,-51.93388316
4.71,-49.87408812
4.72,-47.71399441
4.73,-45.46942719
4.74,-43.11520176
4.75,-40.69678974
4.76,-38.21721688
4.77,-35.68908179
4.78,-33.12816981
4.79,-30.53985004
4.8,-27.94050197
4.81,-25.34222776
4.82,-22.77270691
4.83,-20.25327409
4.84,-17.81724064
4.85,-15.49847253
4.86,-13.33772699
4.87,-11.3756766
4.88,-9.64506441
4.89,-8.17338623
4.9,-6.97627394
4.91,-6.04630276
4.92,-5.38466364
4.93,-4.94638477
4.94,-4.71680537
4.95,-4.62319705
4.96,-4.62870589
4.97,-4.71438488
4.98,-4.8295887
4.99,-4.94418203
5,-5.04538533
5.01,-5.12318662
5.02,-5.18906178
5.03,-5.26683139
5.04,-5.31270278
5.05,-5.36123383
5.06,-5.40581216
5.07,-5.47094491
5.08,-5.54505196
5.09,-5.63310278
5.1,-5.74272875
5.11,-5.83826557
5.12,-5.96390983
5.13,-6.08905853
5.14,-6.21234379
5.15,-6.37970455
5.16,-6.52248072
5.17,-6.70168537
5.18,-6.87850029
5.19,-7.04415677
5.2,-7.19126617
5.21,-7.28812415
5.22,-7.3395486
5.23,-7.31717874
5.24,-7.23674729
5.25,-7.08963757
5.26,-6.87545651
5.27,-6.62457165
5.28,-6.32148212
5.29,-5.99567145
5.3,-5.60827466
5.31,-5.30549706
5.32,-4.94129255
5.33,-4.63322339
5.34,-4.37855965
5.35,-4.06181018
5.36,-3.80954137
5.37,-3.56676536
5.38,-3.31145237
5.39,-3.08254518
5.4,-2.83243396
5.41,-2.60920763
5.42,-2.37610725
5.43,-2.16192261
5.44,-1.95749257
5.45,-1.7568355
5.46,-1.62274995
5.47,-1.49401155
5.48,-1.40158968
5.49,-1.30567495
5.5,-1.31734469
5.51,-1.3215646
5.52,-1.32120652
5.53,-1.38908828
5.54,-1.53438556
5.55,-1.6675777
5.56,-1.83460041
5.57,-2.04087205
5.58,-2.28128551
5.59,-2.56867998
5.6,-2.88333585
5.61,-3.26835637
5.62,-3.71207206
5.63,-4.21155144
5.64,-4.79514991
5.65,-5.48288811
5.66,-6.25544631
5.67,-7.16644573
5.68,-8.22079814
5.69,-9.4322134
5.7,-10.85263483
5.71,-12.47897282
5.72,-14.32578993
5.73,-16.42993161
5.74,-18.76186514
5.75,-21.2993625
5.76,-24.07313492
5.77,-27.04111231
5.78,-30.11775034
5.79,-33.26999565
5.8,-36.44318127
5.81,-39.58104848
5.82,-42.62728448
5.83,-45.55774738
5.84,-48.33467207
5.85,-50.92530142
5.86,-53.32169707
5.87,-55.49983804
5.88,-57.42911101
5.89,-59.10147198
5.9,-60.49004255
5.91,-61.59208552
5.92,-62.39972638
5.93,-62.91963585
5.94,-63.20267239
5.95,-63.22248204
5.96,-63.0971417
5.97,-62.89482567
5.98,-62.63268781
5.99,-62.38463404
6,-62.18586916
6.01,-62.05871701
6.02,-61.9225964
