t,knee
2.54,-11.91075309
2.55,-11.57653559
2.56,-11.25408377
2.57,-10.94856897
2.58,-10.64166549
2.59,-10.36355356
2.6,-10.08604954
2.61,-9.83397439
2.62,-9.61406887
2.63,-9.40697124
2.64,-9.22017709
2.65,-9.05285921
2.66,-8.91408864
2.67,-8.80658229
2.68,-8.70219868
2.69,-8.62588838
2.7,-8.54726742
2.71,-8.52438433
2.72,-8.49406808
2.73,-8.45852434
2.74,-8.47097386
2.75,-8.45366816
2.76,-8.45879681
2.77,-8.45756277
2.78,-8.43393402
2.79,-8.44254386
2.8,-8.41794134
2.81,-8.36159313
2.82,-8.30477745
2.83,-8.21943638
2.84,-8.11115747
2.85,-7.98028371
2.86,-7.82525225
2.87,-7.64772031
2.88,-7.46200421
2.89,-7.28808908
2.9,-7.0906436
2.91,-6.87134908
2.92,-6.6873854
2.93,-6.48581687
2.94,-6.31640522
2.95,-6.13586643
2.96,-5.97574773
2.97,-5.81364007
2.98,-5.6577358
2.99,-5.50356335
3,-5.35399624
3.01,-5.20599487
3.02,-5.04967198
3.03,-4.91981086
3.04,-4.77960925
3.05,-4.6635892
3.06,-4.56292171
3.07,-4.4786197
3.08,-4.41938791
3.09,-4.37187443
3.1,-4.35130607
3.11,-4.34443476
3.12,-4.34492781
3.13,-4.37806754
3.14,-4.42210557
3.15,-4.47876438
3.16,-4.56745792
3.17,-4.67285325
3.18,-4.79899784
3.19,-4.96683266
3.2,-5.16916665
3.21,-5.43288899
3.22,-5.76738076
3.23,-6.16565226
3.24,-6.66461703
3.25,-7.28475889
3.26,-8.03267489
3.27,-8.92827976
3.28,-9.98799798
3.29,-11.23817968
3.3,-12.68202701
3.31,-14.32024277
3.32,-16.14539277
3.33,-18.17702797
3.34,-20.40319067
3.35,-22.77892686
3.36,-25.31488826
3.37,-27.91659322
3.38,-30.63765288
3.39,-33.32521232
3.4,-36.04945396
3.41,-38.68153362
3.42,-41.22588889
3.43,-43.61114438
3.44,-45.86555037
3.45,-47.95362612
3.46,-49.86451262
3.47,-51.56362857
3.48,-53.09937385
