t,Angle
2.54,-13.21831457
2.55,-13.21823599
2.56,-13.21032984
2.57,-13.21037904
2.58,-13.21021643
2.59,-13.21015866
2.6,-13.20746067
2.61,-13.20736891
2.62,-13.20723014
2.63,-13.20704757
2.64,-13.19863862
2.65,-13.19861551
2.66,-13.19855124
2.67,-13.19844687
2.68,-13.19833399
2.69,-13.19568432
2.7,-13.19552631
2.71,-13.19512761
2.72,-13.18997227
2.73,-13.1811086
2.74,-13.18102415
2.75,-13.17917198
2.76,-13.17432011
2.77,-13.17433835
2.78,-13.17430345
2.79,-13.16910378
2.8,-13.16921275
2.81,-13.16928391
2.82,-13.16932074
2.83,-13.16856073
2.84,-13.16860003
2.85,-13.16874465
2.86,-13.16864819
2.87,-13.16745086
2.88,-13.16747993
2.89,-13.16983303
2.9,-13.16866424
2.91,-13.16799912
2.92,-13.16772563
2.93,-13.16781364
2.94,-13.16822169
2.95,-13.16896355
2.96,-13.1700815
2.97,-13.17158404
2.98,-13.17345593
2.99,-13.1932762
3,-13.1920909
3.01,-13.19139546
3.02,-13.19102252
3.03,-13.19085609
3.04,-13.19095159
3.05,-13.19102356
3.06,-13.19067257
3.07,-13.19074141
3.08,-13.19064409
3.09,-13.19052367
3.1,-13.18903637
3.11,-13.18906712
3.12,-13.18798848
3.13,-13.18789745
3.14,-13.18544724
3.15,-13.18529293
3.16,-13.16709716
3.17,-13.16707511
3.18,-13.16624115
3.19,-13.16609172
3.2,-13.16308113
3.21,-13.16281172
3.22,-13.1625139
3.23,-13.1424153
3.24,-13.14236012
3.25,-13.14225469
3.26,-13.14213525
3.27,-13.14001328
3.28,-13.13991863
3.29,-13.13689924
3.3,-13.13680801
3.31,-13.13430231
3.32,-13.13480274
3.33,-13.13487985
3.34,-13.13503695
3.35,-13.13512179
3.36,-13.13543166
3.37,-13.13550635
3.38,-13.13585348
3.39,-13.13588647
3.4,-13.13592696
3.41,-13.13590921
3.42,-13.1177696
3.43,-13.11666222
3.44,-13.11588914
3.45,-13.11571473
3.46,-13.11502224
3.47,-13.11399365
3.48,-13.11380452
3.49,-13.1131394
3.5,-13.11183083
3.51,-13.1064961
3.52,-13.10744021
3.53,-13.10809317
3.54,-13.10477545
3.55,-13.10503108
3.56,-13.10501139
3.57,-13.10455985
3.58,-13.09736084
3.59,-13.09744592
3.6,-13.09798834
3.61,-13.09675112
3.62,-13.09674977
3.63,-13.09594915
3.64,-13.09587028
3.65,-13.09429739
3.66,-13.09318444
3.67,-13.09313382
3.68,-13.09222683
3.69,-13.09233391
3.7,-13.09636825
3.71,-13.09718557
3.72,-13.0978735
3.73,-13.10341535
3.74,-13.10377363
3.75,-13.10384527
3.76,-13.10547676
3.77,-13.10557947
3.78,-13.12349795
3.79,-13.12342963
3.8,-13.12350094
3.81,-13.12358993
3.82,-13.12371718
3.83,-13.12800911
3.84,-13.12829166
3.85,-13.12865086
3.86,-13.13286228
3.87,-13.1331022
3.88,-13.13652122
3.89,-13.13666645
3.9,-13.13886867
3.91,-13.14157205
3.92,-13.14162732
3.93,-13.14655896
3.94,-13.14710371
3.95,-13.14809194
3.96,-13.15886115
3.97,-13.15915827
3.98,-13.16030275
3.99,-13.16221849
4,-13.16502163
4.01,-13.16821477
4.02,-13.17196385
4.03,-13.17621362
4.04,-13.18066329
4.05,-13.18148325
4.06,-13.21931464
4.07,-13.21923649
4.08,-13.21942299
4.09,-13.22018385
4.1,-13.22165064
4.11,-13.22400104
4.12,-13.25163568
4.13,-13.25086917
4.14,-13.250728
4.15,-13.2507745
4.16,-13.25241099
4.17,-13.25965697
4.18,-13.25965857
4.19,-13.2601203
4.2,-13.26026177
4.21,-13.27297611
4.22,-13.27274109
4.23,-13.27283666
4.24,-13.2829572
4.25,-13.28326906
4.26,-13.28468874
4.27,-13.28486905
4.28,-13.29758155
4.29,-13.29787403
4.3,-13.29889348
4.31,-13.30104803
4.32,-13.30591344
4.33,-13.31264721
4.34,-13.31275585
4.35,-13.31329119
4.36,-13.3157125
4.37,-13.31592548
4.38,-13.32520345
4.39,-13.32519656
4.4,-13.32536179
4.41,-13.32552256
4.42,-13.32732447
4.43,-13.32757984
4.44,-13.33119592
4.45,-13.3314612
4.46,-13.34620891
4.47,-13.34736342
4.48,-13.34881315
4.49,-13.35413127
4.5,-13.35570448
4.51,-13.35703177
4.52,-13.35703241
4.53,-13.35866941
4.54,-13.35739839
4.55,-13.35908246
4.56,-13.356206
4.57,-13.35801353
4.58,-13.35416324
4.59,-13.35623315
4.6,-13.35452588
4.61,-13.35699598
4.62,-13.36280672
4.63,-13.36444346
4.64,-13.36143515
4.65,-13.36713074
4.66,-13.36904917
4.67,-13.37188698
4.68,-13.37450964
4.69,-13.37549828
4.7,-13.38305926
4.71,-13.38437056
