t,knee
2.91,-5.23950031
2.92,-5.23645872
2.93,-5.23331465
2.94,-5.23013608
2.95,-5.22698066
2.96,-5.22408473
2.97,-5.22151627
2.98,-5.21929845
2.99,-5.21807297
3,-5.21502464
3.01,-5.21281905
3.02,-5.21108403
3.03,-5.20950711
3.04,-5.20832926
3.05,-5.20861358
3.06,-5.20588501
3.07,-5.20620016
3.08,-5.20587716
3.09,-5.20566802
3.1,-5.20202011
3.11,-5.20253225
3.12,-5.20298405
3.13,-5.20342566
3.14,-5.20410644
3.15,-5.20466065
3.16,-5.21232471
3.17,-5.21313934
3.18,-5.21760035
3.19,-5.21841041
3.2,-5.22488792
3.21,-5.22546658
3.22,-5.22622638
3.23,-5.23976682
3.24,-5.24020832
3.25,-5.24053462
3.26,-5.2407512
3.27,-5.23841513
3.28,-5.23852718
3.29,-5.23218812
3.3,-5.23210043
3.31,-5.21731362
3.32,-5.21695089
3.33,-5.2171569
3.34,-5.21607017
3.35,-5.21627769
3.36,-5.21596895
3.37,-5.21620985
3.38,-5.21748885
3.39,-5.217777
3.4,-5.22015984
3.41,-5.2205393
3.42,-5.24537107
3.43,-5.24632674
3.44,-5.24725512
3.45,-5.24760589
3.46,-5.24881244
3.47,-5.24907944
3.48,-5.24926427
3.49,-5.25044398
3.5,-5.25100379
3.51,-5.25210012
3.52,-5.25497582
3.53,-5.25857006
3.54,-5.26881276
3.55,-5.2707447
3.56,-5.27102571
3.57,-5.27486906
3.58,-5.27794556
3.59,-5.27816583
3.6,-5.28123335
3.61,-5.28232718
3.62,-5.28245793
3.63,-5.28471331
3.64,-5.28456917
3.65,-5.28349104
3.66,-5.28381268
3.67,-5.2836148
3.68,-5.28158355
3.69,-5.28189017
3.7,-5.27330402
3.71,-5.2742687
3.72,-5.27416318
3.73,-5.27020854
3.74,-5.26932223
3.75,-5.26932244
3.76,-5.26862641
3.77,-5.26855333
3.78,-5.26201085
3.79,-5.26178105
3.8,-5.25950327
3.81,-5.25943307
3.82,-5.25931581
3.83,-5.25751286
3.84,-5.25746673
3.85,-5.25738165
3.86,-5.2573377
3.87,-5.2570919
3.88,-5.25629778
3.89,-5.25602009
3.9,-5.255071
3.91,-5.25267033
3.92,-5.25235756
3.93,-5.2489768
3.94,-5.24855554
3.95,-5.24751437
3.96,-5.24626406
3.97,-5.24465533
3.98,-5.24336786
3.99,-5.24208531
4,-5.24064402
4.01,-5.23887853
4.02,-5.23651527
4.03,-5.23339689
4.04,-5.22957533
4.05,-5.22870334
4.06,-5.20620484
4.07,-5.2043931
4.08,-5.20158379
4.09,-5.19861848
4.1,-5.19548479
4.11,-5.19260075
4.12,-5.18151474
4.13,-5.18072406
4.14,-5.18020453
4.15,-5.18033037
4.16,-5.18023266
4.17,-5.18847724
4.18,-5.18856246
4.19,-5.18685392
4.2,-5.18712539
4.21,-5.19311964
4.22,-5.19149479
4.23,-5.19169944
4.24,-5.19144718
4.25,-5.19039116
4.26,-5.18926057
4.27,-5.18955309
4.28,-5.18726297
4.29,-5.18586933
4.3,-5.18411432
4.31,-5.18175371
4.32,-5.17892557
4.33,-5.17737849
4.34,-5.1775155
4.35,-5.17610135
4.36,-5.17608121
4.37,-5.17633179
4.38,-5.18374157
4.39,-5.18360232
4.4,-5.18223873
4.41,-5.1822232
4.42,-5.18211089
4.43,-5.18210193
4.44,-5.18274938
4.45,-5.18251642
4.46,-5.17620616
4.47,-5.17646047
4.48,-5.17669108
4.49,-5.16550596
4.5,-5.16890583
4.51,-5.17231445
4.52,-5.16635586
4.53,-5.1717345
4.54,-5.16829901
4.55,-5.17484447
4.56,-5.17183548
4.57,-5.17918094
4.58,-5.17400672
4.59,-5.18163486
4.6,-5.1697018
4.61,-5.17815451
4.62,-5.16626866
4.63,-5.1737085
4.64,-5.1704588
4.65,-5.16733082
4.66,-5.17364095
4.67,-5.18109199
4.68,-5.18938991
4.69,-5.19250024
4.7,-5.20945755
4.71,-5.21611877
4.72,-5.22396271
4.73,-5.2209071
4.74,-5.23287277
4.75,-5.23361842
4.76,-5.22338559
4.77,-5.23077041
4.78,-5.23174619
4.79,-5.22669807
4.8,-5.22084772
4.81,-5.21193667
4.82,-5.20582892
4.83,-5.19668348
4.84,-5.18973776
4.85,-5.1820139
4.86,-5.17536049
4.87,-5.17513284
4.88,-5.16939018
4.89,-5.16534214
4.9,-5.16286076
4.91,-5.16690435
4.92,-5.16504709
4.93,-5.18076631
4.94,-5.1788544
4.95,-5.19076044
4.96,-5.18923704
4.97,-5.20139559
4.98,-5.20015246
4.99,-5.20135644
5,-5.20144713
5.01,-5.21854372
5.02,-5.21689915
5.03,-5.21682237
5.04,-5.22982331
5.05,-5.229366
5.06,-5.22728906
5.07,-5.22714719
5.08,-5.2325898
5.09,-5.23154458
5.1,-5.23131682
5.11,-5.23059815
5.12,-5.23508655
5.13,-5.23471964
5.14,-5.23306514
5.15,-5.23722592
5.16,-5.2357128
5.17,-5.23581796
5.18,-5.23617654
5.19,-5.23719919
5.2,-5.23913708
5.21,-5.2469898
5.22,-5.2466067
5.23,-5.24767193
5.24,-5.25965149
5.25,-5.25864131
5.26,-5.25939443
5.27,-5.26112923
5.28,-5.26308601
5.29,-5.26545803
5.3,-5.26742279
5.31,-5.26887511
5.32,-5.27850497
5.33,-5.27500184
5.34,-5.27227918
5.35,-5.26947327
5.36,-5.266341
5.37,-5.26604507
5.38,-5.26116165
5.39,-5.25099169
5.4,-5.25082203
5.41,-5.24872655
5.42,-5.24862619
5.43,-5.24859562
5.44,-5.24805638
5.45,-5.2481815
5.46,-5.24848298
5.47,-5.25234611
5.48,-5.25247075
5.49,-5.25252882
5.5,-5.25280504
5.51,-5.25280504
5.52,-5.26802024
