t,Angle
2.55,-10.70825521
2.56,-12.40655921
2.57,-14.43338527
2.58,-16.75479782
2.59,-19.28964474
2.6,-21.92867685
2.61,-24.50089327
2.62,-26.90606859
2.63,-29.00967136
2.64,-30.66680276
2.65,-31.8262059
2.66,-32.48690453
2.67,-32.63918823
2.68,-32.35181354
2.69,-31.69128709
2.7,-30.73899306
2.71,-29.57447542
2.72,-28.30010246
2.73,-26.87773124
2.74,-25.43052429
2.75,-24.04205338
2.76,-22.69980572
2.77,-21.45531829
2.78,-20.3034966
2.79,-19.25570963
2.8,-18.33364693
2.81,-17.53309311
2.82,-16.85055913
2.83,-16.2888635
2.84,-15.85074592
2.85,-15.51392401
2.86,-15.25236789
2.87,-15.0535562
2.88,-14.8951286
2.89,-14.7634599
2.9,-14.64932926
2.91,-14.53080559
2.92,-14.38883624
2.93,-14.21997377
2.94,-14.02142393
2.95,-13.79831395
2.96,-13.56165217
2.97,-13.32714256
2.98,-13.10034896
2.99,-12.88996321
3,-12.71143245
3.01,-12.5847314
3.02,-12.5061773
3.03,-12.50996416
3.04,-12.62310435
3.05,-12.87361423
3.06,-13.24622176
3.07,-13.86762413
3.08,-14.61468416
3.09,-15.53781064
3.1,-16.51678953
3.11,-17.54077432
3.12,-18.5076557
3.13,-19.29479209
3.14,-19.90242456
3.15,-20.28216927
3.16,-20.40531092
3.17,-20.29853254
3.18,-19.98052596
3.19,-19.50227256
3.2,-18.88147672
3.21,-18.17675997
3.22,-17.40931965
3.23,-16.60703933
3.24,-15.80075301
3.25,-14.98998919
3.26,-14.2041701
3.27,-13.45602487
3.28,-12.74836309
3.29,-12.09691903
3.3,-11.521111
3.31,-11.00274134
3.32,-10.53844047
3.33,-10.13430275
3.34,-9.7961592
3.35,-9.50894826
3.36,-9.26152673
3.37,-9.05925604
3.38,-8.90066322
3.39,-8.76934381
3.4,-8.64358319
3.41,-8.57034901
3.42,-8.49328407
3.43,-8.41882899
3.44,-8.34174098
3.45,-8.26197568
3.46,-8.16084469
3.47,-8.05863497
3.48,-7.93595036
3.49,-7.80206129
3.5,-7.66175043
3.51,-7.47566434
3.52,-7.26422775
3.53,-7.05961621
3.54,-6.84974408
3.55,-6.60712505
3.56,-6.3419507
3.57,-6.0839665
3.58,-5.80202248
3.59,-5.52589496
3.6,-5.24436414
3.61,-4.96726455
3.62,-4.68537488
3.63,-4.47467067
3.64,-4.28606928
3.65,-4.17487035
3.66,-4.14160908
3.67,-4.16869113
3.68,-4.38648282
3.69,-4.72237747
3.7,-5.30072563
3.71,-6.13775604
3.72,-7.25217184
3.73,-8.72889287
3.74,-10.53666691
3.75,-12.67124584
3.76,-15.05784019
3.77,-17.63659981
3.78,-20.22258299
3.79,-22.69629713
3.8,-24.88390163
3.81,-26.66774844
3.82,-27.9721844
3.83,-28.75875376
3.84,-29.03809644
3.85,-28.85075326
3.86,-28.28144833
3.87,-27.41318812
3.88,-26.33994121
3.89,-25.16170466
3.9,-23.86494726
3.91,-22.59620478
3.92,-21.39847876
3.93,-20.25929878
3.94,-19.22989905
3.95,-18.30155715
3.96,-17.47503533
3.97,-16.7457501
3.98,-16.11034707
3.99,-15.57127145
4,-15.10470862
4.01,-14.71839674
4.02,-14.39645613
4.03,-14.13316066
4.04,-13.92868655
4.05,-13.71227737
4.06,-13.52482523
4.07,-13.31134702
4.08,-13.07882392
4.09,-12.82149118
4.1,-12.5274734
4.11,-12.19931797
4.12,-11.86385005
4.13,-11.51142884
4.14,-11.20255137
4.15,-10.93015658
4.16,-10.71192505
4.17,-10.55752933
4.18,-10.46550407
4.19,-10.43634964
4.2,-10.48698038
4.21,-10.64076477
4.22,-10.90324592
4.23,-11.32517022
4.24,-11.91981076
4.25,-12.69198406
4.26,-13.64808596
4.27,-14.7472722
4.28,-15.93197851
4.29,-17.15164089
4.3,-18.29342442
4.31,-19.29048807
4.32,-20.0993829
4.33,-20.71061466
4.34,-21.10892974
4.35,-21.26221837
4.36,-21.24603229
4.37,-21.03985654
4.38,-20.69358589
4.39,-20.23207611
4.4,-19.7037573
4.41,-19.11151145
4.42,-18.48060302
4.43,-17.82361448
4.44,-17.16577186
4.45,-16.52174769
4.46,-15.93121231
4.47,-15.34000706
4.48,-14.8061656
4.49,-14.31244445
4.5,-13.87080125
4.51,-13.47600191
4.52,-13.12469578
4.53,-12.81426203
4.54,-12.54401172
4.55,-12.30615651
4.56,-12.09805324
4.57,-11.92045447
4.58,-11.75691091
4.59,-11.60739013
4.6,-11.47394264
4.61,-11.34138069
4.62,-11.20928532
4.63,-11.08537905
4.64,-10.95924532
4.65,-10.80980577
4.66,-10.69129783
4.67,-10.54016482
4.68,-10.38943383
4.69,-10.255102
4.7,-10.08945084
4.71,-9.92199833
4.72,-9.74355042
4.73,-9.54900559
4.74,-9.33047698
4.75,-9.09572757
4.76,-8.85249207
4.77,-8.59388927
4.78,-8.32774461
4.79,-8.0770113
4.8,-7.85509878
4.81,-7.6803205
4.82,-7.57958933
4.83,-7.61368211
4.84,-7.74342066
4.85,-8.07551183
4.86,-8.62144193
4.87,-9.4210079
4.88,-10.51692006
4.89,-11.89039535
4.9,-13.56694371
4.91,-15.46691266
4.92,-17.52177374
4.93,-19.60187803
4.94,-21.58877121
4.95,-23.36072299
4.96,-24.81039303
4.97,-25.89591834
4.98,-26.56616619
4.99,-26.88708996
5,-26.85252567
5.01,-26.54509626
5.02,-26.0334341
5.03,-25.37474297
5.04,-24.63082386
5.05,-23.86631531
5.06,-23.10932668
5.07,-22.36805862
5.08,-21.69248871
5.09,-21.05215103
5.1,-20.46427584
5.11,-19.9182801
5.12,-19.41229233
5.13,-18.95406149
5.14,-18.54662671
5.15,-18.1719049
5.16,-17.83959802
5.17,-17.54992077
5.18,-17.28651901
5.19,-17.05381564
5.2,-16.84226692
5.21,-16.64309353
5.22,-16.44551504
5.23,-16.23304309
5.24,-16.00271552
5.25,-15.76133449
5.26,-15.48791107
5.27,-15.17256211
5.28,-14.85321858
5.29,-14.52032004
5.3,-14.18937495
5.31,-13.87191011
5.32,-13.58419657
5.33,-13.34452775
5.34,-13.16082563
5.35,-13.05439468
5.36,-13.03626873
5.37,-13.16038405
5.38,-13.42451489
5.39,-13.86264447
5.4,-14.46590689
5.41,-15.23675698
5.42,-16.12397063
5.43,-17.1022291
5.44,-18.07929746
5.45,-18.95417017
5.46,-19.78087978
5.47,-20.45049219
5.48,-20.95144308
5.49,-21.30470889
5.5,-21.53187778
5.51,-21.64451981
5.52,-21.6704001
5.53,-21.70148829
