t,knee
2.54,-47.98167087
2.55,-45.60619604
2.56,-43.1184547
2.57,-40.59214687
2.58,-38.01553647
2.59,-35.42584804
2.6,-32.85507415
2.61,-30.32016313
2.62,-27.84540484
2.63,-25.45050479
2.64,-23.159217
2.65,-20.99143451
2.66,-18.9590071
2.67,-17.0832918
2.68,-15.37213519
2.69,-13.83888438
2.7,-12.49525173
2.71,-11.32907025
2.72,-10.35650891
2.73,-9.57239881
2.74,-8.9546914
2.75,-8.47478519
2.76,-8.16008641
2.77,-7.91954325
2.78,-7.78001604
2.79,-7.7251868
2.8,-7.64290457
2.81,-7.5921607
2.82,-7.52647003
2.83,-7.43899975
2.84,-7.31534711
2.85,-7.19193748
2.86,-7.0730694
2.87,-6.97088647
2.88,-6.93168605
2.89,-6.94431293
2.9,-7.04077573
2.91,-7.21561589
2.92,-7.50526594
2.93,-7.82933448
2.94,-8.24872486
2.95,-8.7284716
2.96,-9.27006258
2.97,-9.85299989
2.98,-10.46440121
2.99,-11.09260847
3,-11.76704692
3.01,-12.41515059
3.02,-12.9999742
3.03,-13.6049928
3.04,-14.16574037
3.05,-14.64994297
3.06,-15.07632072
3.07,-15.46562251
3.08,-15.78887162
3.09,-16.06849761
3.1,-16.26760012
3.11,-16.41719513
3.12,-16.49898477
3.13,-16.54828476
3.14,-16.55439288
3.15,-16.50483844
3.16,-16.41411164
3.17,-16.30022697
3.18,-16.14219616
3.19,-15.95998918
3.2,-15.75344265
3.21,-15.52062311
3.22,-15.26230802
3.23,-14.9707241
3.24,-14.69350607
3.25,-14.39238266
3.26,-14.09426001
3.27,-13.76006694
3.28,-13.46323268
3.29,-13.14065517
3.3,-12.85212272
3.31,-12.55496803
3.32,-12.26549467
3.33,-11.9781135
3.34,-11.72326628
3.35,-11.45845073
3.36,-11.22783621
3.37,-11.00022313
3.38,-10.78251787
3.39,-10.57748231
3.4,-10.37129284
3.41,-10.19425245
3.42,-10.01980979
3.43,-9.85429981
3.44,-9.69929595
3.45,-9.55214726
3.46,-9.41463725
3.47,-9.28256342
3.48,-9.15535287
3.49,-9.03247088
3.5,-8.91433516
3.51,-8.78743576
3.52,-8.67069707
3.53,-8.56679349
3.54,-8.46338472
3.55,-8.35648694
3.56,-8.2569143
3.57,-8.17383003
3.58,-8.09687575
3.59,-7.98585274
3.6,-7.94094322
3.61,-7.90640269
3.62,-7.88188593
3.63,-7.86772208
3.64,-7.86452834
3.65,-7.87335592
3.66,-7.89171845
3.67,-7.92184562
3.68,-7.95937166
3.69,-8.00976259
3.7,-8.0622121
3.71,-8.11415026
3.72,-8.16579392
3.73,-8.21903247
3.74,-8.26848563
3.75,-8.31451659
3.76,-8.3565609
3.77,-8.39520676
3.78,-8.42496892
3.79,-8.44896887
3.8,-8.46437876
3.81,-8.47380008
3.82,-8.4787756
3.83,-8.47332035
3.84,-8.46523841
3.85,-8.4559345
3.86,-8.44232556
3.87,-8.42978776
3.88,-8.4164998
3.89,-8.40590369
3.9,-8.39982859
3.91,-8.38566792
3.92,-8.37910055
3.93,-8.37018249
3.94,-8.36459182
3.95,-8.35025097
3.96,-8.34283037
3.97,-8.34358652
3.98,-8.30118899
3.99,-8.29302831
4,-8.2852602
4.01,-8.27789395
4.02,-8.27069021
4.03,-8.26603511
4.04,-8.25730318
4.05,-8.25937947
4.06,-8.25855097
4.07,-8.26161019
4.08,-8.2650585
4.09,-8.27144819
4.1,-8.27592652
4.11,-8.27922525
4.12,-8.2811497
4.13,-8.27799429
4.14,-8.27268091
4.15,-8.26360438
4.16,-8.25175464
4.17,-8.23747445
4.18,-8.20404962
4.19,-8.18918482
4.2,-8.16891694
4.21,-8.13023397
4.22,-8.11066109
4.23,-8.07160418
4.24,-8.05322048
4.25,-8.02510618
4.26,-7.99511266
4.27,-7.96764832
4.28,-7.93420439
4.29,-7.9083322
4.3,-7.88198576
4.31,-7.84307831
4.32,-7.82358161
4.33,-7.81112774
4.34,-7.79183669
4.35,-7.77535577
4.36,-7.76138131
4.37,-7.75816076
4.38,-7.72973212
4.39,-7.71559485
4.4,-7.71182925
4.41,-7.69905002
4.42,-7.69641735
4.43,-7.68598424
4.44,-7.6848174
4.45,-7.68297252
4.46,-7.66671619
