t,Angle
2.54,-15.917683
2.55,-15.7172502
2.56,-15.5548002
2.57,-15.41646922
2.58,-15.3430732
2.59,-15.31083945
2.6,-15.31340306
2.61,-15.36653274
2.62,-15.47652579
2.63,-15.64505951
2.64,-15.87770932
2.65,-16.16720922
2.66,-16.50144191
2.67,-16.86930179
2.68,-17.23701331
2.69,-17.59588529
2.7,-17.91261661
2.71,-18.16882949
2.72,-18.32912125
2.73,-18.44866284
2.74,-18.4495835
2.75,-18.34768369
2.76,-18.22149926
2.77,-18.11235718
2.78,-18.017852
2.79,-17.92969929
2.8,-18.04593331
2.81,-18.22519556
2.82,-18.54301079
2.83,-18.99670787
2.84,-19.59645632
2.85,-20.26263116
2.86,-20.93894888
2.87,-21.70360169
2.88,-22.39565532
2.89,-23.01371492
2.9,-23.53626047
2.91,-23.94244594
2.92,-24.19462866
2.93,-24.39588619
2.94,-24.46327971
2.95,-24.43850112
2.96,-24.34616123
2.97,-24.17844968
2.98,-23.99545427
2.99,-23.78674286
3,-23.5243215
3.01,-23.28216455
3.02,-23.05973696
3.03,-22.82919492
3.04,-22.60764838
3.05,-22.41935061
3.06,-22.22623081
3.07,-22.06799257
3.08,-21.92326176
3.09,-21.82145071
3.1,-21.70672155
3.11,-21.62941393
3.12,-21.56895553
3.13,-21.5377565
3.14,-21.54409388
3.15,-21.5739673
3.16,-21.62153134
3.17,-21.66392463
3.18,-21.75720228
3.19,-21.88384283
3.2,-21.98563265
3.21,-22.15521127
3.22,-22.27695975
3.23,-22.45362273
3.24,-22.6418703
3.25,-22.76798411
3.26,-22.95565745
3.27,-23.09130411
3.28,-23.26024553
3.29,-23.39439149
3.3,-23.53587387
3.31,-23.6765929
3.32,-23.80801361
3.33,-23.91266691
3.34,-24.03555893
3.35,-24.16488939
3.36,-24.28138345
3.37,-24.41166875
3.38,-24.54570861
3.39,-24.67652609
3.4,-24.83262663
3.41,-24.95503231
3.42,-25.09902094
3.43,-25.23804458
3.44,-25.37537754
3.45,-25.50649679
3.46,-25.63009854
3.47,-25.74651298
3.48,-25.8565522
3.49,-25.96056895
3.5,-26.05687559
3.51,-26.15265003
3.52,-26.24309231
3.53,-26.32068735
3.54,-26.39719563
3.55,-26.47364295
3.56,-26.53654638
3.57,-26.5931512
3.58,-26.63949167
3.59,-26.70026406
3.6,-26.72557118
3.61,-26.74149951
3.62,-26.75134966
3.63,-26.75427017
3.64,-26.74926795
3.65,-26.73753492
3.66,-26.71958911
3.67,-26.69702053
3.68,-26.66840199
3.69,-26.65214777
3.7,-26.61360539
3.71,-26.58537995
3.72,-26.55124927
3.73,-26.52163993
3.74,-26.48792007
3.75,-26.45909666
3.76,-26.42511331
3.77,-26.39368645
3.78,-26.36306433
3.79,-26.33470859
3.8,-26.3006497
3.81,-26.29141892
3.82,-26.25795917
3.83,-26.2415028
3.84,-26.22322055
3.85,-26.20639997
3.86,-26.18994378
3.87,-26.17436797
3.88,-26.15910671
3.89,-26.14630594
3.9,-26.1278272
3.91,-26.11663167
3.92,-26.09480502
3.93,-26.08442439
3.94,-26.07861802
3.95,-26.05517803
3.96,-26.03210333
3.97,-26.02858023
3.98,-26.01196853
3.99,-25.99537573
4,-25.97650125
4.01,-25.96011772
4.02,-25.94501716
4.03,-25.93502417
4.04,-25.92242499
4.05,-25.90756755
4.06,-25.89213983
4.07,-25.8799543
4.08,-25.86737397
4.09,-25.85507005
4.1,-25.84284118
4.11,-25.8321272
4.12,-25.82232184
4.13,-25.81351818
4.14,-25.806644
4.15,-25.80112444
4.16,-25.79678608
4.17,-25.79452038
4.18,-25.79174972
4.19,-25.79653824
4.2,-25.80602677
4.21,-25.82446574
4.22,-25.83921747
4.23,-25.87498431
4.24,-25.89770832
4.25,-25.93768219
4.26,-25.98621541
4.27,-26.03861903
4.28,-26.1044347
4.29,-26.16500394
4.3,-26.23029896
4.31,-26.31689356
4.32,-26.38472976
4.33,-26.42392448
4.34,-26.48409958
4.35,-26.5416723
4.36,-26.59383384
4.37,-26.62470715
4.38,-26.69858636
4.39,-26.75138997
4.4,-26.77241448
4.41,-26.81497889
4.42,-26.8170651
4.43,-26.85640649
4.44,-26.85835748
4.45,-26.86184785
4.46,-26.91672652
