t,Angle
2.54,-114.20876817
2.55,-112.88047687
2.56,-111.52296869
2.57,-110.1347417
2.58,-108.71641895
2.59,-107.2681545
2.6,-105.79211943
2.61,-104.28401733
2.62,-102.75350404
2.63,-101.191424
2.64,-99.60370469
2.65,-97.98941474
2.66,-96.34700449
2.67,-94.68444445
2.68,-93.00374261
2.69,-91.30255775
2.7,-89.56647969
2.71,-87.82966402
2.72,-86.05598017
2.73,-84.28426014
2.74,-82.47290294
2.75,-80.65568735
2.76,-78.82501604
2.77,-76.97769187
2.78,-75.12310985
2.79,-73.25366566
2.8,-71.37956168
2.81,-69.50177665
2.82,-67.62280992
2.83,-65.74519318
2.84,-63.86538469
2.85,-61.99480808
2.86,-60.13535863
2.87,-58.28715348
2.88,-56.45504613
2.89,-54.64066111
2.9,-52.84420163
2.91,-51.07371298
2.92,-49.35226008
2.93,-47.62153419
2.94,-45.95138019
2.95,-44.27669086
2.96,-42.65952838
2.97,-41.07673358
2.98,-39.54431983
2.99,-38.01657555
3,-36.55995927
3.01,-35.14264258
3.02,-33.74933586
3.03,-32.40055482
3.04,-31.08110996
3.05,-29.81883666
3.06,-28.59005422
3.07,-27.40060502
3.08,-26.2499248
3.09,-25.13929527
3.1,-24.03862072
3.11,-23.0229167
3.12,-22.01929181
3.13,-21.02268227
3.14,-20.10305136
3.15,-19.18888695
3.16,-18.29589735
3.17,-17.42652938
3.18,-16.55422912
3.19,-15.74391969
3.2,-14.92814389
3.21,-14.13164536
3.22,-13.32513728
3.23,-12.58181225
3.24,-11.82952739
3.25,-11.10351865
3.26,-10.40061271
3.27,-9.72575463
3.28,-9.07628042
3.29,-8.49022745
3.3,-7.92409641
3.31,-7.41173659
3.32,-6.94435369
3.33,-6.52842663
3.34,-6.16026076
3.35,-5.83970639
3.36,-5.56207776
3.37,-5.32693842
3.38,-5.15304232
3.39,-4.96796503
3.4,-4.8522294
3.41,-4.74426987
3.42,-4.68811957
3.43,-4.62581115
3.44,-4.54752086
3.45,-4.53035426
3.46,-4.51515171
3.47,-4.50154767
3.48,-4.4781205
3.49,-4.4566324
3.5,-4.44508146
3.51,-4.42572386
3.52,-4.42057768
3.53,-4.41635762
3.54,-4.40483448
3.55,-4.40809428
3.56,-4.43156257
3.57,-4.44641125
3.58,-4.48578746
3.59,-4.52937697
3.6,-4.56785387
3.61,-4.6169714
3.62,-4.6664154
3.63,-4.72417199
3.64,-4.75843642
3.65,-4.79725098
3.66,-4.82607432
3.67,-4.84466581
3.68,-4.84953305
3.69,-4.861565
3.7,-4.8604339
3.71,-4.82891772
3.72,-4.82710636
3.73,-4.79974583
3.74,-4.76563979
3.75,-4.72447799
3.76,-4.67910719
3.77,-4.62830726
3.78,-4.57280903
3.79,-4.51740122
3.8,-4.46738324
3.81,-4.40887506
3.82,-4.36330876
3.83,-4.32768184
3.84,-4.31680083
3.85,-4.27272072
3.86,-4.26787995
3.87,-4.2510656
3.88,-4.25051346
