t,knee
2.54,-9.78150248
2.55,-9.70185214
2.56,-9.63781959
2.57,-9.5593114
2.58,-9.49445101
2.59,-9.44555062
2.6,-9.39009802
2.61,-9.34461386
2.62,-9.30013184
2.63,-9.26943733
2.64,-9.25886005
2.65,-9.27299035
2.66,-9.30353562
2.67,-9.37318226
2.68,-9.49519679
2.69,-9.69216792
2.7,-9.98461809
2.71,-10.38204413
2.72,-10.90654795
2.73,-11.58601525
2.74,-12.43938288
2.75,-13.49627587
2.76,-14.78421192
2.77,-16.2611785
2.78,-17.93869108
2.79,-19.81690852
2.8,-21.88845181
2.81,-24.13349194
2.82,-26.51200164
2.83,-29.00379681
2.84,-31.57469544
2.85,-34.19096901
2.86,-36.8183606
2.87,-39.42944169
2.88,-41.98623704
2.89,-44.46461222
2.9,-46.82821847
2.91,-49.05165834
2.92,-51.10553631
2.93,-52.96689594
2.94,-54.61903409
2.95,-56.04863157
2.96,-57.24881823
2.97,-58.21160442
2.98,-58.9648168
2.99,-59.46023902
3,-59.77328355
3.01,-59.82970828
3.02,-59.7345991
3.03,-59.40345017
3.04,-58.91376296
3.05,-58.26034292
3.06,-57.45121296
3.07,-56.50329631
3.08,-55.42680879
3.09,-54.2274436
3.1,-52.94926017
3.11,-51.57705384
3.12,-50.13660947
3.13,-48.6356121
3.14,-47.09840416
3.15,-45.51983082
3.16,-43.91709043
3.17,-42.30218141
3.18,-40.68283956
3.19,-39.06998955
3.2,-37.4695569
3.21,-35.89080758
3.22,-34.34246452
3.23,-32.84520375
3.24,-31.38500769
3.25,-29.99697574
3.26,-28.65818202
3.27,-27.40551485
3.28,-26.23872096
3.29,-25.17626954
3.3,-24.22549541
3.31,-23.40455086
3.32,-22.72164537
3.33,-22.18538817
3.34,-21.81430814
3.35,-21.58506257
3.36,-21.50441929
3.37,-21.59768904
3.38,-21.82113113
3.39,-22.18441676
3.4,-22.66670124
3.41,-23.25054625
3.42,-23.91536588
3.43,-24.64042423
3.44,-25.39927712
3.45,-26.16885777
3.46,-26.9195437
3.47,-27.63094606
3.48,-28.29669769
3.49,-28.88374556
3.5,-29.39181658
3.51,-29.81255755
3.52,-30.14674923
3.53,-30.39922419
3.54,-30.57450567
3.55,-30.68270901
3.56,-30.72946084
3.57,-30.72323236
3.58,-30.66751675
3.59,-30.56702072
3.6,-30.42033938
3.61,-30.24361596
3.62,-30.00551327
3.63,-29.74541671
3.64,-29.44172605
3.65,-29.10298971
3.66,-28.72748631
3.67,-28.3367177
3.68,-27.912036
3.69,-27.47196611
3.7,-27.01055114
3.71,-26.53925868
3.72,-26.03136311
3.73,-25.50962146
3.74,-24.97103265
3.75,-24.43515953
3.76,-23.84188802
3.77,-23.22379872
3.78,-22.61359256
3.79,-21.94416984
3.8,-21.27965668
3.81,-20.57918079
3.82,-19.87317672
3.83,-19.16109297
3.84,-18.44318559
3.85,-17.72665703
3.86,-17.01640634
3.87,-16.31301026
3.88,-15.62131437
3.89,-14.94482189
3.9,-14.28751458
3.91,-13.65486887
3.92,-13.05201705
3.93,-12.48316643
3.94,-11.96082698
3.95,-11.49165633
3.96,-11.07428393
3.97,-10.70298748
3.98,-10.38411556
3.99,-10.11573856
4,-9.89399512
4.01,-9.71083336
4.02,-9.55896402
4.03,-9.42757801
4.04,-9.31203025
4.05,-9.20055572
4.06,-9.08984892
4.07,-8.98728358
4.08,-8.87361116
4.09,-8.76195047
4.1,-8.65962691
4.11,-8.56332634
4.12,-8.47722188
4.13,-8.41412684
4.14,-8.41759525
4.15,-8.380804
4.16,-8.39843972
4.17,-8.43914825
4.18,-8.5224112
4.19,-8.62265843
4.2,-8.76933067
4.21,-8.95248313
4.22,-9.18986258
4.23,-9.49175979
4.24,-9.86896962
4.25,-10.31721552
4.26,-10.89699253
4.27,-11.63618447
4.28,-12.48947922
4.29,-13.58937126
4.3,-14.84311318
4.31,-16.29710313
4.32,-17.95238796
4.33,-19.80933072
4.34,-21.85465132
4.35,-24.0634048
4.36,-26.4187422
4.37,-28.88202699
4.38,-31.4215101
4.39,-34.00156598
4.4,-36.58606738
4.41,-39.14483245
4.42,-41.65118709
4.43,-44.07107776
4.44,-46.37692375
4.45,-48.54265982
4.46,-50.55004236
4.47,-52.33423493
4.48,-53.97027169
4.49,-55.35050266
4.5,-56.48117868
4.51,-57.38967342
4.52,-58.04995565
4.53,-58.47621596
4.54,-58.67056389
4.55,-58.60921068
4.56,-58.36884119
4.57,-57.93854912
4.58,-57.33581572
4.59,-56.57987089
4.6,-55.68155341
4.61,-54.65792276
4.62,-53.53740021
4.63,-52.32258405
4.64,-51.02822674
4.65,-49.66969142
4.66,-48.26575137
4.67,-46.81262494
4.68,-45.33069165
4.69,-43.82588031
4.7,-42.31112365
4.71,-40.79482533
4.72,-39.28277936
4.73,-37.78839028
4.74,-36.31802662
4.75,-34.87240061
4.76,-33.46536461
4.77,-32.10463168
4.78,-30.79867252
4.79,-29.54911769
4.8,-28.37330274
4.81,-27.29118506
4.82,-26.28348572
4.83,-25.38945336
4.84,-24.62467259
4.85,-24.00010162
4.86,-23.52773287
4.87,-23.21887756
4.88,-23.07398155
4.89,-23.11135614
4.9,-23.31594723
4.91,-23.67515841
4.92,-24.17670294
4.93,-24.79946106
4.94,-25.52026352
4.95,-26.30205975
4.96,-27.12413032
4.97,-27.96090396
