t,ankle
2.62,8.22776361
2.63,8.10247971
2.64,7.94386006
2.65,7.71746028
2.66,7.44222877
2.67,7.10398906
2.68,6.69904002
2.69,6.22481593
2.7,5.66065705
2.71,5.03085308
2.72,4.31693384
2.73,3.49619528
2.74,2.56978618
2.75,1.52470444
2.76,0.37351919
2.77,-0.94639207
2.78,-2.41047526
2.79,-4.03046884
2.8,-5.74039808
2.81,-7.50704557
2.82,-9.34233447
2.83,-11.12110419
2.84,-12.76981105
2.85,-14.26345107
2.86,-15.51770394
2.87,-16.48602691
2.88,-17.17006647
2.89,-17.54867326
2.9,-17.66959199
2.91,-17.56075942
2.92,-17.28727891
2.93,-16.89968389
2.94,-16.44582553
2.95,-15.9605012
2.96,-15.4641123
2.97,-14.95682121
2.98,-14.4112345
2.99,-13.93991028
3,-13.36397313
3.01,-12.83067893
3.02,-12.24393124
3.03,-11.60202984
3.04,-10.95367012
3.05,-10.32336493
3.06,-9.69782217
3.07,-9.13120677
3.08,-8.59294388
3.09,-8.09489983
3.1,-7.70123386
3.11,-7.34994898
3.12,-7.07154999
3.13,-6.85195888
3.14,-6.69654126
3.15,-6.58012767
3.16,-6.50641136
3.17,-6.46601662
3.18,-6.44082141
3.19,-6.43084347
3.2,-6.43212929
3.21,-6.44309639
3.22,-6.46786879
3.23,-6.48685222
3.24,-6.51889748
3.25,-6.55624916
3.26,-6.59795303
3.27,-6.6411064
3.28,-6.68664971
3.29,-6.73143262
3.3,-6.77436907
3.31,-6.81749976
3.32,-6.87741215
3.33,-6.95301736
3.34,-7.08418711
3.35,-7.22980174
3.36,-7.46044949
3.37,-7.74911784
3.38,-8.12900051
3.39,-8.57218112
3.4,-9.06754534
3.41,-9.5940029
3.42,-10.12767619
3.43,-10.63290904
3.44,-11.08788037
3.45,-11.47003004
3.46,-11.76718285
3.47,-11.9780787
3.48,-12.06497789
3.49,-12.07194999
3.5,-11.98892202
3.51,-11.82036434
3.52,-11.58249382
3.53,-11.28923057
3.54,-10.95389219
3.55,-10.5914935
3.56,-10.20119018
3.57,-9.78047031
3.58,-9.36625525
3.59,-8.93348894
3.6,-8.52240382
3.61,-8.08987503
3.62,-7.67382879
3.63,-7.25735783
3.64,-6.842324
3.65,-6.41654129
3.66,-5.98503056
3.67,-5.57186372
3.68,-5.13003375
3.69,-4.70172879
3.7,-4.28598116
3.71,-3.8623255
3.72,-3.46441382
3.73,-3.1272187
3.74,-2.74285174
3.75,-2.39947156
3.76,-2.09343256
3.77,-1.79674291
3.78,-1.47821587
3.79,-1.22591948
3.8,-0.93662744
3.81,-0.69149122
3.82,-0.43323574
3.83,-0.18532631
3.84,0.05120131
3.85,0.28500664
3.86,0.50991294
3.87,0.72306139
3.88,0.92940257
3.89,1.12822561
3.9,1.31845451
3.91,1.50151832
3.92,1.68277616
3.93,1.85962113
3.94,2.04110516
3.95,2.2220609
3.96,2.39640542
3.97,2.5838933
3.98,2.77375028
3.99,2.97357731
4,3.17686385
4.01,3.40282278
4.02,3.61298183
4.03,3.85346479
4.04,4.07488705
4.05,4.31392251
4.06,4.56765566
4.07,4.7638294
4.08,4.97549344
4.09,5.1788882
4.1,5.3942818
4.11,5.5306671
4.12,5.66737627
4.13,5.77713587
4.14,5.86485873
4.15,5.91958475
4.16,5.94074428
4.17,5.9297478
4.18,5.86305363
4.19,5.75696975
4.2,5.59490374
