t,Angle
2.54,-5.6574295
2.55,-6.18862642
2.56,-6.78813407
2.57,-7.43846064
2.58,-8.1608368
2.59,-8.89926851
2.6,-9.70517978
2.61,-10.54925621
2.62,-11.42173008
2.63,-12.32938116
2.64,-13.20526
2.65,-14.07052695
2.66,-14.92528635
2.67,-15.71710577
2.68,-16.4750158
2.69,-17.19167715
2.7,-17.86308836
2.71,-18.50524942
2.72,-19.12331635
2.73,-19.72258283
2.74,-20.30352093
2.75,-20.86850315
2.76,-21.41091175
2.77,-21.93712932
2.78,-22.39964585
2.79,-22.79984115
2.8,-23.13802595
2.81,-23.39724539
2.82,-23.58542579
2.83,-23.6811815
2.84,-23.69322396
2.85,-23.65104975
2.86,-23.55825543
2.87,-23.40482712
2.88,-23.20965029
2.89,-22.99810284
2.9,-22.76582828
2.91,-22.52305254
2.92,-22.27234516
2.93,-22.03217716
2.94,-21.8034917
2.95,-21.58715569
2.96,-21.38931391
2.97,-21.21692092
2.98,-21.07460673
2.99,-20.94128626
3,-20.86367774
3.01,-20.80956266
3.02,-20.79672878
3.03,-20.81806159
3.04,-20.87019597
3.05,-20.98567173
3.06,-21.13006041
3.07,-21.33803685
3.08,-21.58178394
3.09,-21.8777592
3.1,-22.23425997
3.11,-22.63107199
3.12,-23.06485563
3.13,-23.52646275
3.14,-24.03058583
3.15,-24.54574383
3.16,-25.1049692
3.17,-25.71297488
3.18,-26.36995929
3.19,-27.11281793
3.2,-27.99139353
3.21,-29.01574879
3.22,-30.23440391
3.23,-31.683522
3.24,-33.39127612
3.25,-35.36669382
3.26,-37.6127011
3.27,-40.11068153
3.28,-42.8347961
3.29,-45.71672654
3.3,-48.68008896
3.31,-51.63701501
3.32,-54.54764205
3.33,-57.33762514
3.34,-59.9332633
3.35,-62.33239826
3.36,-64.50581845
3.37,-66.40789667
3.38,-68.03776875
3.39,-69.38225326
3.4,-70.4277487
3.41,-71.16297789
3.42,-71.5845213
3.43,-71.69429497
3.44,-71.49286419
3.45,-70.99017304
3.46,-70.20190769
3.47,-69.13796546
3.48,-67.81497818
3.49,-66.247938
3.5,-64.45337068
3.51,-62.45153329
3.52,-60.26191456
3.53,-57.90083335
3.54,-55.4125213
3.55,-52.78685441
3.56,-50.08208419
3.57,-47.316847
3.58,-44.50443252
3.59,-41.66623299
3.6,-38.82864307
3.61,-35.99223692
3.62,-33.17348965
3.63,-30.38741755
3.64,-27.62607735
3.65,-24.9082677
3.66,-22.23281182
3.67,-19.64225384
3.68,-17.17393265
3.69,-14.83140611
3.7,-12.66786329
3.71,-10.71923884
3.72,-9.02866786
3.73,-7.64012888
3.74,-6.54479428
3.75,-5.74385568
3.76,-5.23260984
3.77,-4.98687695
3.78,-4.96333669
3.79,-5.11339812
3.8,-5.41481768
3.81,-5.82646544
3.82,-6.34224684
3.83,-6.87998707
3.84,-7.475674
3.85,-8.11541161
3.86,-8.80839139
3.87,-9.60082066
3.88,-10.41204783
3.89,-11.31274659
3.9,-12.28419524
3.91,-13.25044458
3.92,-14.2588033
3.93,-15.25566467
3.94,-16.26242681
3.95,-17.20116509
3.96,-18.11465163
3.97,-18.98937678
3.98,-19.8239067
3.99,-20.62605592
4,-21.39295343
4.01,-22.13079697
4.02,-22.833557
4.03,-23.4979504
4.04,-24.10815727
4.05,-24.65678342
4.06,-25.12776496
4.07,-25.50521335
4.08,-25.7938103
4.09,-25.97555799
4.1,-26.06335997
4.11,-26.07157183
4.12,-25.97870539
4.13,-25.80948597
4.14,-25.57218756
4.15,-25.28715567
4.16,-24.96910165
4.17,-24.61144756
4.18,-24.22689715
4.19,-23.83424117
4.2,-23.42277289
4.21,-23.02980446
4.22,-22.64516178
4.23,-22.28637084
4.24,-21.96019977
4.25,-21.67296734
4.26,-21.44028049
4.27,-21.26843326
4.28,-21.1630793
4.29,-21.12255802
4.3,-21.16022362
4.31,-21.27606957
4.32,-21.46886576
4.33,-21.72148111
4.34,-22.03231392
4.35,-22.4066263
4.36,-22.80132252
4.37,-23.2661784
4.38,-23.7368386
4.39,-24.21194681
4.4,-24.70219399
4.41,-25.18227067
4.42,-25.67017302
4.43,-26.16880415
4.44,-26.68018291
4.45,-27.24851998
4.46,-27.87242137
4.47,-28.59373442
4.48,-29.42829604
4.49,-30.40521436
4.5,-31.56803923
4.51,-32.91942828
4.52,-34.46987054
4.53,-36.23557331
4.54,-38.21300311
4.55,-40.38747416
4.56,-42.74076068
4.57,-45.21437653
4.58,-47.77215815
4.59,-50.35417764
4.6,-52.90351842
4.61,-55.37259347
4.62,-57.71263648
4.63,-59.89268601
4.64,-61.87123014
4.65,-63.6340961
4.66,-65.14724168
4.67,-66.39488498
4.68,-67.35204303
4.69,-68.03688265
4.7,-68.42679161
4.71,-68.52182343
4.72,-68.30427844
4.73,-67.79971375
4.74,-67.03454023
4.75,-66.01229774
4.76,-64.74847008
4.77,-63.25810134
4.78,-61.57088287
4.79,-59.67568783
4.8,-57.61807339
4.81,-55.41170769
4.82,-53.07092573
4.83,-50.62212625
4.84,-48.08318739
4.85,-45.469531
4.86,-42.80182922
4.87,-40.08185895
4.88,-37.32085803
4.89,-34.53058514
4.9,-31.71281926
4.91,-28.86773228
4.92,-26.02472493
4.93,-23.18517812
4.94,-20.38337052
4.95,-17.64174174
4.96,-15.05925772
4.97,-12.63875938
4.98,-10.46464717
4.99,-8.58772592
5,-7.04826807
5.01,-5.85898932
5.02,-5.03127975
5.03,-4.53309599
5.04,-4.3440685
5.05,-4.4082152
5.06,-4.67729324
5.07,-5.07827316
5.08,-5.62948531
5.09,-6.24271316
5.1,-6.90247471
5.11,-7.62851881
5.12,-8.3652515
5.13,-9.21542713
5.14,-10.12951135
5.15,-11.12199604
5.16,-12.18554457
5.17,-13.3303015
5.18,-14.50483018
5.19,-15.71260701
5.2,-16.91814085
5.21,-18.08508217
5.22,-19.18806279
5.23,-20.22916066
5.24,-21.17781464
5.25,-22.05158118
5.26,-22.83901741
5.27,-23.5513369
5.28,-24.18882855
5.29,-24.75537864
5.3,-25.24703509
5.31,-25.65741207
5.32,-26.00901385
5.33,-26.2743038
5.34,-26.43394935
5.35,-26.50759215
5.36,-26.49524253
5.37,-26.37678612
5.38,-26.1694878
5.39,-25.8875179
5.4,-25.54224452
5.41,-25.14765262
5.42,-24.72116854
5.43,-24.27123707
5.44,-23.82295448
5.45,-23.37335466
5.46,-22.93600768
5.47,-22.52327278
5.48,-22.13023429
5.49,-21.7857336
5.5,-21.48184119
5.51,-21.22750546
5.52,-21.03236374
5.53,-20.89968418
5.54,-20.84049048
5.55,-20.84746334
5.56,-20.91743417
5.57,-21.0705769
5.58,-21.27249415
5.59,-21.51558677
5.6,-21.80585652
5.61,-22.12346336
5.62,-22.45971292
5.63,-22.8010782
5.64,-23.15096579
5.65,-23.49226074
5.66,-23.8215747
5.67,-24.15762451
5.68,-24.47846494
5.69,-24.81168191
5.7,-25.1654146
5.71,-25.54326533
5.72,-25.94595536
5.73,-26.37021314
5.74,-26.82556901
5.75,-27.29693185
5.76,-27.76688624
5.77,-28.21526563
5.78,-28.62705054
5.79,-28.96084212
5.8,-29.2260184
5.81,-29.39229266
5.82,-29.53037415
5.83,-29.64478252
